 ,Label,X,Y,Slice
1,tomeasure:2456:1,702.481,722.786,1
2,tomeasure:3309:20,870.702,620.862,20
3,tomeasure:2679:23,859.909,319.625,23
4,tomeasure:3252:31,771.687,961.847,31
5,tomeasure:2600:38,1077.859,729.845,38
6,tomeasure:2370:76,805.226,496.549,76
7,tomeasure:2272:89,1355.484,778.294,89
8,tomeasure:3066:99,797.356,709.944,99
9,tomeasure:3153:144,1225.774,822.635,144
10,tomeasure:2407:149,905.085,267.836,149
11,tomeasure:2107:150,770.841,799.011,150
12,tomeasure:3119:156,893.080,646.552,156
13,tomeasure:2035:143,1038.083,489.116,143
14,tomeasure:2204:159,1097.763,903.849,159
15,tomeasure:2287:168,452.238,553.323,168
16,tomeasure:2008:148,1001.189,417.431,148
17,tomeasure:2244:177,245.032,801.515,177
18,tomeasure:2629:184,1024.401,673.447,184
19,tomeasure:3318:188,805.226,941.148,188
20,tomeasure:3369:198,1078.271,682.183,198
21,tomeasure:3207:203,722.371,718.637,203
22,tomeasure:2463:212,574.043,526.797,212
23,tomeasure:3345:210,1023.587,590.203,210
24,tomeasure:2181:208,474.615,292.297,208
25,tomeasure:2079:166,756.366,503.624,166
26,tomeasure:2687:228,859.926,448.104,228
27,tomeasure:3259:246,799.848,848.741,246
28,tomeasure:2333:240,424.834,627.091,240
29,tomeasure:3289:295,443.959,936.157,295
30,tomeasure:2165:291,847.073,739.754,291
31,tomeasure:2377:305,957.275,277.371,305
32,tomeasure:2390:311,727.346,435.240,311
33,tomeasure:2317:334,991.684,715.737,334
34,tomeasure:2353:349,854.536,777.459,349
35,tomeasure:3377:369,1023.583,730.243,369
36,tomeasure:2520:371,742.258,144.698,371
37,tomeasure:3397:372,1141.246,680.527,372
38,tomeasure:3215:371,707.867,654.430,371
39,tomeasure:2696:379,1190.128,545.461,379
40,tomeasure:2429:385,1060.038,310.525,385
41,tomeasure:3126:397,646.978,1106.442,397
42,tomeasure:2118:389,637.456,885.179,389
43,tomeasure:2415:415,1079.100,409.126,415
44,tomeasure:3228:425,749.300,684.660,425
45,tomeasure:2130:442,953.562,344.498,442
46,tomeasure:2256:463,594.774,729.416,463
47,tomeasure:3161:467,1275.078,782.036,467
48,tomeasure:3324:468,768.771,1105.627,468
49,tomeasure:2621:457,1116.794,536.340,457
50,tomeasure:2732:484,546.275,315.088,484
51,tomeasure:3266:487,605.953,479.163,487
52,tomeasure:3180:495,1114.725,719.881,495
53,tomeasure:2225:501,1050.919,924.565,501
54,tomeasure:2724:494,1093.167,319.232,494
55,tomeasure:2485:509,468.410,755.106,509
56,tomeasure:2212:529,1144.160,891.824,529
57,tomeasure:3074:530,926.226,728.174,530
58,tomeasure:3354:523,1004.942,446.424,523
59,tomeasure:3336:515,504.443,1143.321,515
60,tomeasure:2659:550,1513.864,641.995,550
61,tomeasure:2340:415,578.213,462.926,415
62,tomeasure:2528:569,762.568,203.157,569
63,tomeasure:2296:512,770.027,324.598,512
64,tomeasure:3103:590,707.044,437.728,590
65,tomeasure:2306:422,584.029,462.934,422
66,tomeasure:3134:616,1040.160,828.009,616
67,tomeasure:3095:595,904.242,621.281,595
68,tomeasure:3418:618,1380.361,519.765,618
69,tomeasure:3279:580,688.804,762.940,580
70,tomeasure:3384:632,1247.313,842.106,632
71,tomeasure:2150:660,917.506,434.424,660
72,tomeasure:2471:670,748.046,818.907,670
73,tomeasure:2138:675,851.645,211.864,675
74,tomeasure:3235:694,663.120,777.456,694
75,tomeasure:3404:707,1544.959,658.153,707
76,tomeasure:2494:710,336.231,913.782,710
77,tomeasure:2190:711,322.342,923.523,711
78,tomeasure:2706:714,1159.891,383.450,714
79,tomeasure:2507:736,405.837,749.295,736
80,tomeasure:2741:738,620.439,114.017,738
81,tomeasure:3190:748,961.020,537.173,748
82,tomeasure:2440:755,1407.310,444.356,755
83,tomeasure:2759:754,868.633,246.691,754
84,tomeasure:3296:705,702.071,701.634,705
85,tomeasure:3082:794,930.360,909.639,794
86,tomeasure:2539:800,772.509,389.669,800
87,tomeasure:3169:813,1401.920,719.461,813
